id;value
215;3054101
216;3054201
217;3054901
218;3054999
219;3055101
220;3055199
221;3055901
222;3055999
223;3056101
224;3056201
225;3056301
226;3056999
227;3061101
228;3061201
229;3061301
230;3061401
231;3061999
232;3062101
233;3062201
234;3062301
235;3062399
236;3062401
237;3062901
238;3071001
239;3072101
240;3072999
241;3073101
242;3073999
243;3074101
244;3074199
245;3074901
246;3074999
247;3075101
248;3075999
249;3076001
250;3079101
251;3079999
252;4011001
253;4011099
254;4012001
255;4012099
256;4013001
257;4013099
258;4021001
259;4021099
260;4022101
261;4022199
262;4022999
263;4029101
264;4029199
265;4029901
266;4029999
267;4031001
268;4039099
269;4041001
270;4041099
271;4049099
272;4051001
273;4051099
274;4052001
275;4059001
276;4059099
277;4061001
278;4062001
279;4063001
280;4063099
281;4064001
282;4069001
283;4069002
284;4069003
285;4069004
286;4069005
287;4069006
288;4069099
289;4070001
290;4070002
291;4070003
292;4070099
293;4081101
294;4081999
295;4089101
296;4089199
297;4089901
298;4089902
299;4089999
300;4090001
301;4100001
302;4100099
303;5010001
304;5021001
305;5029099
306;5040001
307;5051001
308;5059099
309;5061001
310;5069099
311;5071001
312;5079001
313;5079099
314;5080001
315;5080099
316;5100001
317;5100002
318;5100003
319;5100099
320;5111001
321;5119101
322;5119102
323;5119199
324;5119901
325;5119902
326;5119903
327;5119904
328;5119905
329;5119906
330;5119907
331;5119908
332;5119999
333;6011001
334;6011002
335;6011003
336;6011004
337;6011005
338;6011006
339;6011007
340;6011008
341;6011099
342;6012001
343;6012002
344;6012003
345;6012004
346;6012005
347;6012006
348;6012007
349;6012008
350;6012009
351;6012099
352;6021001
353;6021002
354;6021003
355;6021004
356;6021005
357;6021006
358;6021099
359;6022001
360;6022002
361;6022003
362;6022099
363;6023001
364;6024001
365;6024099
366;6029001
367;6029002
368;6029003
369;6029004
370;6029005
371;6029006
372;6029007
373;6029008
374;6029009
375;6029010
376;6029011
377;6029012
378;6029013
379;6029099
380;6031101
381;6031201
382;6031301
383;6031401
384;6031499
385;6031901
386;6031902
387;6031903
388;6031904
389;6031905
390;6031906
391;6031907
392;6031908
393;6031999
394;6039099
395;6041001
396;6041099
397;6049101
398;6049102
399;6049199
400;6049901
401;6049902
402;6049999
403;7011001
404;7019099
405;7020001
406;7020099
407;7031001
408;7031099
409;7032001
410;7032099
411;7039001
412;7041001
413;7041002
414;7041099
415;7042001
416;7049001
417;7049099
418;7051101
419;7051999
420;7052101
421;7052999
422;7061001
423;7069099
424;7070001
425;7081001
426;7082001
427;7089099
428;7092001
429;7092099
430;7093001
431;7094001
432;7094099
433;7095101
434;7095901
435;7095999
436;7096001
437;7096099
438;7097001
439;7099001
440;7099002
441;7099099
442;7101001
443;7102101
444;7102201
445;7102999
446;7103001
447;7104001
448;7108001
449;7108002
450;7108003
451;7108004
452;7108099
453;7109001
454;7109099
455;7112001
456;7114001
457;7115101
458;7115999
459;7119001
460;7119002
461;7119003
462;7119099
463;7122001
464;7123101
465;7123201
466;7123301
467;7123999
468;7129001
469;7129002
470;7129003
471;7129099
472;7131001
473;7131099
474;7132001
475;7133101
476;7133201
477;7133301
478;7133302
479;7133303
480;7133399
481;7133999
482;7134001
483;7135001
484;7139099
485;7141001
486;7141099
487;7142001
488;7142099
489;7149001
490;7149002
491;7149099
492;8011101
493;8011999
494;8012101
495;8012201
